122 122 240
104 2 106 3
1 105 107 2
106 2 108 3
1 107 109 2
108 2 110 3
1 109 111 2
110 2 112 3
1 111 113 2
112 2 114 3
1 113 115 2
114 2 116 3
1 115 117 2
116 2 118 3
1 117 119 2
118 2 120 3
1 119 121 2
120 2 122 3
1 121 3 2
122 2 4 3
3 4 6 1
3 6 5 1
5 6 8 1
5 8 7 1
7 8 10 1
7 10 9 1
9 10 12 1
9 12 11 1
11 12 14 1
11 14 13 1
13 14 16 1
13 16 15 1
15 16 18 1
15 18 17 1
17 18 20 1
17 20 19 1
19 20 22 1
19 22 21 1
21 22 24 1
21 24 23 1
23 24 26 1
23 26 25 1
25 26 28 1
25 28 27 1
27 28 30 1
27 30 29 1
29 30 32 1
29 32 31 1
31 32 34 1
31 34 33 1
33 34 36 1
33 36 35 1
35 36 38 1
35 38 37 1
37 38 40 1
37 40 39 1
39 40 42 1
39 42 41 1
41 42 44 1
41 44 43 1
43 44 46 1
43 46 45 1
45 46 48 1
45 48 47 1
47 48 50 1
47 50 49 1
49 50 52 1
49 52 51 1
51 52 54 1
51 54 53 1
53 54 56 1
53 56 55 1
55 56 58 1
55 58 57 1
57 58 60 1
57 60 59 1
59 60 62 1
59 62 61 1
61 62 64 1
61 64 63 1
63 64 66 1
63 66 65 1
65 66 68 1
65 68 67 1
67 68 70 1
67 70 69 1
69 70 72 1
69 72 71 1
71 72 74 1
71 74 73 1
73 74 76 1
73 76 75 1
75 76 78 1
75 78 77 1
77 78 80 1
77 80 79 1
79 80 82 1
79 82 81 1
81 82 84 1
81 84 83 1
83 84 86 1
83 86 85 1
85 86 88 1
85 88 87 1
87 88 90 1
87 90 89 1
89 90 92 1
89 92 91 1
91 92 94 1
91 94 93 1
93 94 96 1
93 96 95 1
95 96 98 1
95 98 97 1
97 98 100 1
97 100 99 1
99 100 102 1
99 102 101 1
101 102 104 1
101 104 103 1
103 104 106 1
103 106 105 1
105 106 108 1
105 108 107 1
107 108 110 1
107 110 109 1
109 110 112 1
109 112 111 1
111 112 114 1
111 114 113 1
113 114 116 1
113 116 115 1
115 116 118 1
115 118 117 1
117 118 120 1
117 120 119 1
119 120 122 1
119 122 121 1
121 122 4 1
121 4 3 1
